Country,Survey Questions,Survey Responses,Number of Records,Total,Fit Mean,Country Records,Two Sigma (Positive),Two Sigma (Negative),Three Sigma (Positive),Three Sigma (Negative),Percentage
United Kingdom,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,284,34026,17.90%,3004,19.27%,16.53%,20.00%,15.80%,9.45%
Sweden,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,533,34026,17.90%,3005,19.27%,16.53%,20.00%,15.80%,17.74%
Spain,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,512,34026,17.90%,3008,19.27%,16.53%,20.00%,15.80%,17.02%
South Korea,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,104,34026,17.90%,978,20.30%,15.50%,21.58%,14.22%,10.63%
Singapore,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,291,34026,17.90%,1961,19.60%,16.20%,20.50%,15.30%,14.84%
Norway,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,510,34026,17.90%,3005,19.27%,16.53%,20.00%,15.80%,16.97%
Netherlands,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,186,34026,17.90%,1521,19.83%,15.97%,20.85%,14.95%,12.23%
Japan,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,235,34026,17.90%,1502,19.84%,15.96%,20.87%,14.93%,15.65%
Italy,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,557,34026,17.90%,3004,19.27%,16.53%,20.00%,15.80%,18.54%
Germany,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,492,34026,17.90%,2059,19.56%,16.25%,20.44%,15.37%,23.90%
France,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,1094,34026,17.90%,3069,19.26%,16.54%,19.98%,15.83%,35.65%
Finland,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,323,34026,17.90%,2013,19.58%,16.23%,20.46%,15.34%,16.05%
Denmark,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,240,34026,17.90%,2001,19.58%,16.22%,20.47%,15.33%,11.99%
Canada,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,410,34026,17.90%,1971,19.59%,16.21%,20.49%,15.31%,20.80%
Australia,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",5 - Strongly disagree,320,34026,17.90%,1925,19.61%,16.19%,20.52%,15.28%,16.62%
United Kingdom,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,137,34026,9.30%,3004,10.34%,8.26%,10.89%,7.71%,4.56%
Sweden,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,256,34026,9.30%,3005,10.34%,8.26%,10.89%,7.71%,8.52%
Spain,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,271,34026,9.30%,3008,10.34%,8.26%,10.89%,7.71%,9.01%
South Korea,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,175,34026,9.30%,978,11.12%,7.48%,12.09%,6.52%,17.89%
Singapore,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,314,34026,9.30%,1961,10.59%,8.02%,11.27%,7.33%,16.01%
Norway,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,284,34026,9.30%,3005,10.34%,8.26%,10.89%,7.71%,9.45%
Netherlands,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,121,34026,9.30%,1521,10.76%,7.84%,11.54%,7.07%,7.96%
Japan,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,207,34026,9.30%,1502,10.77%,7.83%,11.55%,7.05%,13.78%
Italy,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,244,34026,9.30%,3004,10.34%,8.26%,10.89%,7.71%,8.12%
Germany,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,145,34026,9.30%,2059,10.56%,8.05%,11.22%,7.38%,7.04%
France,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,332,34026,9.30%,3069,10.33%,8.27%,10.87%,7.73%,10.82%
Finland,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,187,34026,9.30%,2013,10.57%,8.03%,11.24%,7.36%,9.29%
Denmark,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,121,34026,9.30%,2001,10.57%,8.03%,11.25%,7.35%,6.05%
Canada,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,156,34026,9.30%,1971,10.58%,8.02%,11.26%,7.34%,7.91%
Australia,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",4 - Disagree,215,34026,9.30%,1925,10.60%,8.00%,11.29%,7.32%,11.17%
United Kingdom,"If a Covid-19 vaccine were made available to me this week, I would definitely get it",3 - Neutral,284,34026,19.17%,3004,20.58%,17.76%,21.32%,17.01%,9.45%
