Survey Questions,Country,Survey Responses,Percentage
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Australia,5 - Strongly disagree,0.13038961
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Australia,5 - Strongly disagree,0.166233766
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Australia,5 - Strongly disagree,0.113246753
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Australia,5 - Strongly disagree,0.067532468
I am worried about potential side effects of a Covid-19 vaccine,Australia,5 - Strongly disagree,0.103896104
I am worried about getting Covid-19,Australia,5 - Strongly disagree,0.148051948
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Australia,4 - Disagree,0.110649351
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Australia,4 - Disagree,0.111688312
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Australia,4 - Disagree,0.095584416
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Australia,4 - Disagree,0.086753247
I am worried about potential side effects of a Covid-19 vaccine,Australia,4 - Disagree,0.153766234
I am worried about getting Covid-19,Australia,4 - Disagree,0.202077922
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Australia,3 - Neutral,0.292467532
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Australia,3 - Neutral,0.22961039
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Australia,3 - Neutral,0.189090909
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Australia,3 - Neutral,0.275844156
I am worried about potential side effects of a Covid-19 vaccine,Australia,3 - Neutral,0.250909091
I am worried about getting Covid-19,Australia,3 - Neutral,0.299220779
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Australia,2 - Agree,0.167792208
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Australia,2 - Agree,0.136623377
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Australia,2 - Agree,0.136623377
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Australia,2 - Agree,0.277402597
I am worried about potential side effects of a Covid-19 vaccine,Australia,2 - Agree,0.206753247
I am worried about getting Covid-19,Australia,2 - Agree,0.178701299
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Australia,1 - Strongly agree,0.298701299
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Australia,1 - Strongly agree,0.355844156
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Australia,1 - Strongly agree,0.465454545
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Australia,1 - Strongly agree,0.292467532
I am worried about potential side effects of a Covid-19 vaccine,Australia,1 - Strongly agree,0.284675325
I am worried about getting Covid-19,Australia,1 - Strongly agree,0.171948052
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Canada,5 - Strongly disagree,0.179096905
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Canada,5 - Strongly disagree,0.208016235
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Canada,5 - Strongly disagree,0.152207002
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Canada,5 - Strongly disagree,0.088787418
I am worried about potential side effects of a Covid-19 vaccine,Canada,5 - Strongly disagree,0.130898021
I am worried about getting Covid-19,Canada,5 - Strongly disagree,0.129883308
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Canada,4 - Disagree,0.106544901
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Canada,4 - Disagree,0.079147641
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Canada,4 - Disagree,0.069000507
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Canada,4 - Disagree,0.092846271
I am worried about potential side effects of a Covid-19 vaccine,Canada,4 - Disagree,0.143581938
I am worried about getting Covid-19,Canada,4 - Disagree,0.152714358
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Canada,3 - Neutral,0.208016235
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Canada,3 - Neutral,0.165905632
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Canada,3 - Neutral,0.150177575
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Canada,3 - Neutral,0.231861999
I am worried about potential side effects of a Covid-19 vaccine,Canada,3 - Neutral,0.235920852
I am worried about getting Covid-19,Canada,3 - Neutral,0.270421106
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Canada,2 - Agree,0.127346525
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Canada,2 - Agree,0.094368341
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Canada,2 - Agree,0.112633181
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Canada,2 - Agree,0.240487062
I am worried about potential side effects of a Covid-19 vaccine,Canada,2 - Agree,0.167427702
I am worried about getting Covid-19,Canada,2 - Agree,0.190766109
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Canada,1 - Strongly agree,0.378995434
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Canada,1 - Strongly agree,0.452562151
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Canada,1 - Strongly agree,0.515981735
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Canada,1 - Strongly agree,0.34601725
I am worried about potential side effects of a Covid-19 vaccine,Canada,1 - Strongly agree,0.322171487
I am worried about getting Covid-19,Canada,1 - Strongly agree,0.256215119
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Denmark,5 - Strongly disagree,0.08195902
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Denmark,5 - Strongly disagree,0.11994003
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Denmark,5 - Strongly disagree,0.097951024
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Denmark,5 - Strongly disagree,0.046476762
I am worried about potential side effects of a Covid-19 vaccine,Denmark,5 - Strongly disagree,0.170914543
I am worried about getting Covid-19,Denmark,5 - Strongly disagree,0.12143928
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Denmark,4 - Disagree,0.048975512
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Denmark,4 - Disagree,0.060469765
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Denmark,4 - Disagree,0.048975512
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Denmark,4 - Disagree,0.059470265
I am worried about potential side effects of a Covid-19 vaccine,Denmark,4 - Disagree,0.228885557
I am worried about getting Covid-19,Denmark,4 - Disagree,0.172413793
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Denmark,3 - Neutral,0.184407796
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Denmark,3 - Neutral,0.154922539
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Denmark,3 - Neutral,0.136931534
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Denmark,3 - Neutral,0.172913543
I am worried about potential side effects of a Covid-19 vaccine,Denmark,3 - Neutral,0.254372814
I am worried about getting Covid-19,Denmark,3 - Neutral,0.308345827
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Denmark,2 - Agree,0.127936032
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Denmark,2 - Agree,0.070464768
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Denmark,2 - Agree,0.074962519
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Denmark,2 - Agree,0.204397801
I am worried about potential side effects of a Covid-19 vaccine,Denmark,2 - Agree,0.180409795
I am worried about getting Covid-19,Denmark,2 - Agree,0.206396802
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Denmark,1 - Strongly agree,0.556721639
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Denmark,1 - Strongly agree,0.594202899
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Denmark,1 - Strongly agree,0.64117941
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Denmark,1 - Strongly agree,0.516741629
I am worried about potential side effects of a Covid-19 vaccine,Denmark,1 - Strongly agree,0.165417291
I am worried about getting Covid-19,Denmark,1 - Strongly agree,0.191404298
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Finland,5 - Strongly disagree,0.128663686
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Finland,5 - Strongly disagree,0.160457029
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Finland,5 - Strongly disagree,0.118728266
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Finland,5 - Strongly disagree,0.068057625
I am worried about potential side effects of a Covid-19 vaccine,Finland,5 - Strongly disagree,0.099354198
I am worried about getting Covid-19,Finland,5 - Strongly disagree,0.108296076
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Finland,4 - Disagree,0.112767014
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Finland,4 - Disagree,0.092896175
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Finland,4 - Disagree,0.091902633
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Finland,4 - Disagree,0.119721808
I am worried about potential side effects of a Covid-19 vaccine,Finland,4 - Disagree,0.192250373
I am worried about getting Covid-19,Finland,4 - Disagree,0.19076006
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Finland,3 - Neutral,0.243914555
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Finland,3 - Neutral,0.169398907
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Finland,3 - Neutral,0.183805266
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Finland,3 - Neutral,0.257824143
I am worried about potential side effects of a Covid-19 vaccine,Finland,3 - Neutral,0.252359662
I am worried about getting Covid-19,Finland,3 - Neutral,0.330352707
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Finland,2 - Agree,0.171385991
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Finland,2 - Agree,0.136115251
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Finland,2 - Agree,0.14058619
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Finland,2 - Agree,0.29657228
I am worried about potential side effects of a Covid-19 vaccine,Finland,2 - Agree,0.22106309
I am worried about getting Covid-19,Finland,2 - Agree,0.221559861
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Finland,1 - Strongly agree,0.343268753
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Finland,1 - Strongly agree,0.441132638
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Finland,1 - Strongly agree,0.464977645
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Finland,1 - Strongly agree,0.257824143
I am worried about potential side effects of a Covid-19 vaccine,Finland,1 - Strongly agree,0.234972678
I am worried about getting Covid-19,Finland,1 - Strongly agree,0.149031297
"If I do not get a Covid-19 vaccine when it is available, I will regret it",France,5 - Strongly disagree,0.299120235
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",France,5 - Strongly disagree,0.356467905
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",France,5 - Strongly disagree,0.19257087
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,France,5 - Strongly disagree,0.141414141
I am worried about potential side effects of a Covid-19 vaccine,France,5 - Strongly disagree,0.110459433
I am worried about getting Covid-19,France,5 - Strongly disagree,0.15868361
"If I do not get a Covid-19 vaccine when it is available, I will regret it",France,4 - Disagree,0.115672858
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",France,4 - Disagree,0.10817856
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",France,4 - Disagree,0.103290974
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,France,4 - Disagree,0.144346693
I am worried about potential side effects of a Covid-19 vaccine,France,4 - Disagree,0.119257087
I am worried about getting Covid-19,France,4 - Disagree,0.142717498
"If I do not get a Covid-19 vaccine when it is available, I will regret it",France,3 - Neutral,0.233300749
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",France,3 - Neutral,0.174649723
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",France,3 - Neutral,0.208211144
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,France,3 - Neutral,0.315086347
I am worried about potential side effects of a Covid-19 vaccine,France,3 - Neutral,0.186379928
I am worried about getting Covid-19,France,3 - Neutral,0.291951776
"If I do not get a Covid-19 vaccine when it is available, I will regret it",France,2 - Agree,0.11502118
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",France,2 - Agree,0.088954057
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",France,2 - Agree,0.143369176
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,France,2 - Agree,0.189638319
I am worried about potential side effects of a Covid-19 vaccine,France,2 - Agree,0.173346367
I am worried about getting Covid-19,France,2 - Agree,0.185402411
"If I do not get a Covid-19 vaccine when it is available, I will regret it",France,1 - Strongly agree,0.236884979
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",France,1 - Strongly agree,0.271749756
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",France,1 - Strongly agree,0.352557836
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,France,1 - Strongly agree,0.2095145
I am worried about potential side effects of a Covid-19 vaccine,France,1 - Strongly agree,0.410557185
I am worried about getting Covid-19,France,1 - Strongly agree,0.221244705
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Germany,5 - Strongly disagree,0.21029626
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Germany,5 - Strongly disagree,0.238950947
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Germany,5 - Strongly disagree,0.228751821
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Germany,5 - Strongly disagree,0.090820787
I am worried about potential side effects of a Covid-19 vaccine,Germany,5 - Strongly disagree,0.104419621
I am worried about getting Covid-19,Germany,5 - Strongly disagree,0.136959689
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Germany,4 - Disagree,0.078193298
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Germany,4 - Disagree,0.070422535
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Germany,4 - Disagree,0.07673628
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Germany,4 - Disagree,0.070908208
I am worried about potential side effects of a Covid-19 vaccine,Germany,4 - Disagree,0.15541525
I am worried about getting Covid-19,Germany,4 - Disagree,0.169014085
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Germany,3 - Neutral,0.234579893
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Germany,3 - Neutral,0.166585721
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Germany,3 - Neutral,0.219524041
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Germany,3 - Neutral,0.275862069
I am worried about potential side effects of a Covid-19 vaccine,Germany,3 - Neutral,0.225837785
I am worried about getting Covid-19,Germany,3 - Neutral,0.30354541
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Germany,2 - Agree,0.153472559
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Germany,2 - Agree,0.136474017
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Germany,2 - Agree,0.136474017
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Germany,2 - Agree,0.282175814
I am worried about potential side effects of a Covid-19 vaccine,Germany,2 - Agree,0.199611462
I am worried about getting Covid-19,Germany,2 - Agree,0.206410879
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Germany,1 - Strongly agree,0.323457989
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Germany,1 - Strongly agree,0.38756678
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Germany,1 - Strongly agree,0.338513842
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Germany,1 - Strongly agree,0.280233123
I am worried about potential side effects of a Covid-19 vaccine,Germany,1 - Strongly agree,0.314715881
I am worried about getting Covid-19,Germany,1 - Strongly agree,0.184069937
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Italy,5 - Strongly disagree,0.157456724
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Italy,5 - Strongly disagree,0.185419441
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Italy,5 - Strongly disagree,0.135486019
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Italy,5 - Strongly disagree,0.07723036
I am worried about potential side effects of a Covid-19 vaccine,Italy,5 - Strongly disagree,0.151131824
I am worried about getting Covid-19,Italy,5 - Strongly disagree,0.089214381
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Italy,4 - Disagree,0.091211718
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Italy,4 - Disagree,0.081225033
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Italy,4 - Disagree,0.078561917
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Italy,4 - Disagree,0.097869507
I am worried about potential side effects of a Covid-19 vaccine,Italy,4 - Disagree,0.168442077
I am worried about getting Covid-19,Italy,4 - Disagree,0.12150466
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Italy,3 - Neutral,0.233688415
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Italy,3 - Neutral,0.179094541
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Italy,3 - Neutral,0.158455393
I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,Italy,3 - Neutral,0.277296937
I am worried about potential side effects of a Covid-19 vaccine,Italy,3 - Neutral,0.268641811
I am worried about getting Covid-19,Italy,3 - Neutral,0.322569907
"If I do not get a Covid-19 vaccine when it is available, I will regret it",Italy,2 - Agree,0.141478029
"If a Covid-19 vaccine were made available to me this week, I would definitely get it",Italy,2 - Agree,0.107190413
"If a Covid-19 vaccine becomes available to me in 2021, I definitely intend to get it",Italy,2 - Agree,0.119507324
